"","Name.in.English","Degree.of.endangerment","Latitude","Longitude"
"1","Old Sirenik","Extinct",64.4194,-173.9657
"2","Seward Peninsula Inupiaq (Big Diomede Island)","Extinct",65.7853,-169.0686
"3","Eyak","Extinct",60.2165,-143.3935
"4","Tsetsaut","Extinct",55.936,-129.9911
"5","Pentlatch","Extinct",49.6971,-125.0033
"6","Quileute","Extinct",47.9083,-124.6365
"7","Quinault","Extinct",47.3332,-124.2864
"8","Wiyot","Extinct",40.5984,-124.2519
"9","Hanis","Extinct",43.406,-124.2402
"10","Siuslaw","Extinct",43.3773,-124.2371
"11","Tututni","Extinct",42.5756,-124.0688
"12","Lower Chehalis","Extinct",46.3227,-123.9724
"13","Upper Umpqua","Extinct",43.4476,-123.77
"14","Mattole","Extinct",39.1375,-123.6931
"15","Eel River Athabaskan","Extinct",40.188,-123.6477
"16","Tillamook","Extinct",45.3449,-123.5309
"17","Kato","Extinct",39.677,-123.4944
"18","Konomihu","Extinct",41.2583,-123.3216
"19","Twana","Extinct",47.3344,-123.1607
"20","Central Kalapuyan","Extinct",43.8,-123.06
"21","Upper Chehalis","Extinct",46.4111,-122.9949
"22","Eastern Pomo","Extinct",39.0461,-122.9211
"23","Cowlitz","Extinct",46.132,-122.8642
"24","Southeastern Pomo","Extinct",39.016,-122.6779
"25","Atsugewi","Extinct",40.8824,-122.6661
"26","Northeastern Pomo","Extinct",39.3774,-122.5454
"27","Wappo","Extinct",38.8701,-122.5154
"28","Nooksack","Extinct",49.0378,-122.4865
"29","Molala","Extinct",44.8636,-122.4645
"30","Klamath-Modoc","Extinct",42.5767,-121.8637
"31","New River Shasta","Extinct",45.2835,-121.7134
"32","Antoniano","Extinct",35.9717,-121.1757
"33","Nisenan","Extinct",38.7654,-121.0064
"34","Migueleño","Extinct",35.7587,-120.6951
"35","Obispeño","Extinct",35.2692,-120.6707
"36","Purisimeño","Extinct",34.6608,-120.4711
"37","Ineseño","Extinct",34.5942,-120.1371
"38","Barbareño","Extinct",34.4227,-119.7039
"39","Island Chumash","Extinct",34.3821,-119.4574
"40","Ventureño","Extinct",34.2809,-119.2979
"41","Yuki","Extinct",37.4336,-118.5908
"42","Cayuse","Extinct",44.9647,-118.5424
"43","Serrano","Extinct",34.1212,-117.2221
"44","Cupeño","Extinct",33.364,-117.0756
"45","Lipan","Extinct",33.1513,-105.799
"46","Arapaho (Oklahoma)","Extinct",35.602,-97.9712
"47","Chiwere","Extinct",35.9761,-97.3336
"48","Kansa","Extinct",36.7657,-96.8652
"49","Miami-Illinois","Extinct",36.8866,-94.8775
"50","Quapaw","Extinct",36.9494,-94.7877
"51","Huron-Wyandot (United States of America)","Extinct",36.7923,-94.7229
"52","Cayuga (Oklahoma)","Extinct",36.6302,-94.6441
"53","Tunica","Extinct",31.1262,-92.0673
"54","Natchez","Extinct",31.5544,-91.3875
"55","Cacaopera","Extinct",13.4109,-87.8741
"56","Lenca","Extinct",13.6459,-87.0996
"57","Subtiaba","Extinct",12.5266,-86.667
"58","Matagalpa","Extinct",12.9517,-85.4381
"59","Catawba","Extinct",34.9361,-81.0272
"60","Mochica","Extinct",-7.079,-79.6453
"61","Culle","Extinct",-8.1951,-78.294
"62","Tetete","Extinct",-0.0109,-76.5966
"63","Andoa (Ecuador)","Extinct",-2.3341,-76.5016
"64","Cholon","Extinct",-8.8633,-76.1791
"65","Unami","Extinct",39.13,-76.0253
"66","Pijao","Extinct",3.9519,-75.0146
"67","Macaguaje","Extinct",0,-75
"68","Panobo","Extinct",-6.97,-74.9267
"69","Opon-Carare","Extinct",6.206,-73.7402
"70","Yameo","Extinct",-4.4449,-73.5644
"71","Nukiní","Extinct",-7.4931,-73.4765
"72","Western Abenaki (United States of America)","Extinct",43.0046,-72.246
"73","Carabayo","Extinct",-1.6666,-70.3333
"74","Yurutí (Brazil)","Extinct",-0.1318,-69.1699
"75","Eastern Abenaki","Extinct",44.9423,-68.7328
"76","Uru","Extinct",-16.5519,-68.6645
"77","Apolista","Extinct",-14.4027,-68.6206
"78","Atacameño","Extinct",-22.7559,-68.247
"79","Gününa Küne","Extinct",-43.4848,-68.1591
"80","Ona","Extinct",-54.6229,-67.4121
"81","Huitoto (Brazil)","Extinct",-2.3723,-66.0937
"82","Arapáso","Extinct",0,-66
"83","Canichana","Extinct",-14.5835,-64.9731
"84","Máku","Extinct",4.0615,-61.831
"85","Urupá","Extinct",-10.898,-61.809
"86","Torá","Extinct",-6.6646,-61.4135
"87","Island Carib","Extinct",15.4325,-61.2817
"88","Vilela","Extinct",-26.9808,-59.6777
"89","Múra","Extinct",-3.3598,-59.2382
"90","Umutina","Extinct",-15.0425,-57.1026
"91","Amanayé","Extinct",-3.7327,-49.1088
"92","Krenjê","Extinct",-2.5644,-46.6589
"93","Xakriabá","Extinct",-14.5306,-44.0438
"94","Guanche","Extinct",27.9264,-15.6774
"95","Baga Kalem","Extinct",10.4013,-14.3151
"96","Sei","Extinct",7.5857,-12.5354
"97","Mo-peng","Extinct",7.4714,-12.2607
"98","Judeo-Berber (Morocco)","Extinct",30.822,-6.8005
"99","Yola","Extinct",52.2266,-6.4846
"100","Tamazight (Ait Rouadi)","Extinct",32.5745,-5.9655
"101","Tonjon","Extinct",8.4397,-4.3807
"102","Mozarabic","Extinct",37.4574,-3.988
"103","Eotile","Extinct",5.2495,-3.3233
"104","Alderney French","Extinct",49.7098,-2.2075
"105","Norn","Extinct",60.3051,-1.2744
"106","Boro","Extinct",8.6244,0.6262
"107","Odut","Extinct",5.3077,8.2672
"108","Zeem","Extinct",9.8389,9.0911
"109","Sened","Extinct",35.5858,10.8984
"110","Polabian","Extinct",53.094,11.3461
"111","Kwadi","Extinct",-15.2523,12.2277
"112","Kwisi","Extinct",-16.7309,13.0572
"113","Nagumi","Extinct",8.6814,13.1835
"114","Ngong","Extinct",9.0044,13.5104
"115","Gey","Extinct",9.384,13.5296
"116","Duli","Extinct",9.3813,13.5708
"117","Dalmatian","Extinct",45.0599,14.5719
"118","Berakou","Extinct",12.8492,15.032
"119","Kede","Extinct",-17.1617,16.1059
"120","Slovincian","Extinct",54.6484,17.2485
"121","Horo","Extinct",9.239,18.3444
"122","Cuman","Extinct",46.5815,19.6765
"123","Cape Khoekhoe","Extinct",-34.4522,19.7314
"124","|'Auni","Extinct",-26.0105,20.363
"125","Old Prussian","Extinct",54.8987,20.4895
"126","|Xam","Extinct",-32.2853,20.759
"127","ǁKx'au","Extinct",-32.2896,21.7968
"128","Krevin","Extinct",56.35,24.2907
"129","Deti","Extinct",-20.9614,24.461
"130","Baygo","Extinct",11.7436,24.6423
"131","Togoyo","Extinct",8.5049,24.7961
"132","Birgid","Extinct",14.8598,25.0103
"133","Berti","Extinct",14.6898,25.9524
"134","!Gan!ne","Extinct",-31.3911,26.6748
"135","ǁKu ǁ'e","Extinct",-29.9739,27.0812
"136","Homa","Extinct",5.5011,27.3779
"137","Kemi Saami","Extinct",67.0631,27.6635
"138","Ubykh (Turkey)","Extinct",40.0402,28.0096
"139","Li-Ngbee","Extinct",2.4931,28.059
"140","Coptic","Extinct",26.8915,29.0959
"141","ǁXegwi","Extinct",-25.35,30.99
"142","Akkala Saami","Extinct",67.5809,31.668
"143","Cappadocian Greek (Turkey)","Extinct",38.048,32.6953
"144","Karelian (Valday)","Extinct",58.0284,33.3215
"145","Nyang'i","Extinct",3.5024,33.3764
"146","Singa","Extinct",-0.1373,33.695
"147","Gothic","Extinct",44.653,33.8598
"148","Napore","Extinct",3.8478,33.9147
"149","Karaim (Crimea)","Extinct",45.058,33.9477
"150","Gule","Extinct",10.0986,34.1235
"151","Gafat","Extinct",10.6768,35.8264
"152","Kw'adza","Extinct",-5.3753,35.8621
"153","Sogoo","Extinct",-1.0435,36.6006
"154","Elmolo","Extinct",2.7212,36.7326
"155","Yaaku","Extinct",0.4394,37.1777
"156","Kinare","Extinct",-0.725,37.2436
"157","Lorkoti","Extinct",-0.4943,37.359
"158","Aasax","Extinct",-5.1948,37.738
"159","Qwarenya","Extinct",9.9207,38.3828
