"","Name.in.English","Degree.of.endangerment","Latitude","Longitude"
"1","Aleut (Western)","Severely endangered",52.2304,-174.1978
"2","Central Siberian Yupik (Chukotka)","Severely endangered",64.546,-173.128
"3","Tokelauan","Severely endangered",-9.1699,-171.8206
"4","North Alaskan Inupiaq (Kotzebue Sound)","Severely endangered",66.8972,-162.5855
"5","Penrhyn","Severely endangered",-9.0153,-158.0218
"6","North Alaskan Inupiaq (North Slope)","Severely endangered",71.2725,-156.7749
"7","Pacific Gulf Yupik","Severely endangered",58.1938,-155.6542
"8","Tanaina","Severely endangered",63.3422,-148.8647
"9","Gwich'in (United States of America)","Severely endangered",68.1171,-145.5173
"10","Rapa","Severely endangered",-27.8973,-143.5034
"11","Mangareva","Severely endangered",-23.1226,-134.978
"12","Gwich'in (Canada)","Severely endangered",67.4407,-134.8272
"13","North Alaskan Inupiaq (Canada)","Severely endangered",68.3217,-133.532
"14","Siglitun","Severely endangered",69.4386,-132.9998
"15","Kaska","Severely endangered",61.9751,-132.4544
"16","Nisga'a","Severely endangered",55.2035,-129.07
"17","Gitksan","Severely endangered",55.355,-127.6828
"18","Nootka","Severely endangered",49.2818,-126.0627
"19","Carrier","Severely endangered",54.2395,-125.7621
"20","Halkomelem","Severely endangered",48.7715,-123.6678
"21","Straits Salish","Severely endangered",48.4457,-123.4205
"22","Karuk","Severely endangered",41.7929,-123.3763
"23","Lillooet","Severely endangered",50.3326,-122.6789
"24","Sahaptin","Severely endangered",44.7712,-121.2871
"25","Thompson","Severely endangered",50.1909,-120.8431
"26","Washo","Severely endangered",38.9226,-119.7256
"27","Valley Yokuts","Severely endangered",36.0582,-119.5241
"28","Tipai (United States of America)","Severely endangered",32.6049,-116.4678
"29","Tipai (Mexico)","Severely endangered",32,-116.1166
"30","Kutenai","Severely endangered",49.6467,-115.7372
"31","Paipai","Severely endangered",29.65,-115.1333
"32","Cocopa (Arizona)","Severely endangered",32.608,-114.6497
"33","Mohave (California)","Severely endangered",34.6905,-114.598
"34","Mohave (Arizona)","Severely endangered",34.0231,-114.5045
"35","Shoshoni (Nevada)","Severely endangered",40.0358,-113.9835
"36","Southern Paiute","Severely endangered",37.6818,-113.088
"37","Shoshoni (Idaho)","Severely endangered",43.0438,-112.4629
"38","Yavapai","Severely endangered",34.5638,-112.4453
"39","Maricopa","Severely endangered",33.3772,-112.1676
"40","Ute (Utah)","Severely endangered",40.2329,-109.8223
"41","Rapanui","Severely endangered",-27.108,-109.3579
"42","Sonora Lower Pima","Severely endangered",28.3716,-108.9265
"43","Arapaho (Wyoming)","Severely endangered",43.0139,-108.8214
"44","Shoshoni (Wyoming)","Severely endangered",43.014,-108.8209
"45","Ute (Colorado, Ute Mountain)","Severely endangered",37.2105,-108.7223
"46","Ute (Colorado, Southern Ute)","Severely endangered",37.115,-107.6331
"47","Jicarilla Apache","Severely endangered",36.9336,-106.9984
"48","Tewa (New Mexico)","Severely endangered",36.053,-106.0708
"49","Western Náhuatl","Severely endangered",18.3745,-103.3026
"50","Kickapoo (Texas)","Severely endangered",28.6147,-100.4386
"51","Western Otomí","Severely endangered",19.4335,-100.3456
"52","Ocoyoacac Otomí","Severely endangered",19.2716,-99.4613
"53","Tlahuica","Severely endangered",18.9664,-99.4137
"54","Tilapa Otomí","Severely endangered",18.8923,-99.2986
"55","Kiowa","Severely endangered",35.1016,-98.6197
"56","Southern Tlapanec","Severely endangered",16.7325,-98.6034
"57","Comanche","Severely endangered",34.6086,-98.3904
"58","Western Popoloc","Severely endangered",18.4141,-98.0176
"59","Cheyenne (Oklahoma)","Severely endangered",35.6022,-97.9766
"60","Central Popoloc","Severely endangered",18.5842,-97.9295
"61","Ixtenco Otomí","Severely endangered",19.2495,-97.8943
"62","Patla-Chicontla Totonac","Severely endangered",20.1644,-97.6927
"63","Sierra Totonac","Severely endangered",20.2461,-97.6586
"64","Mixtec of Zapotitlán","Severely endangered",18.3333,-97.4666
"65","Western Chocho","Severely endangered",17.7486,-97.4409
"66","Mixtec of San Pedro Tidaá","Severely endangered",17.35,-97.3833
"67","Mixtec of the northeast lowlands","Severely endangered",17.5333,-97.35
"68","Southern Chocho","Severely endangered",17.6608,-97.335
"69","Eastern Chocho","Severely endangered",17.7223,-97.3213
"70","Kickapoo (Oklahoma)","Severely endangered",35.4245,-97.0713
"71","Mixtec of San Miguel Piedras","Severely endangered",17,-97.05
"72","Shawnee","Severely endangered",35.359,-96.9298
"73","Chickasaw","Severely endangered",34.6,-96.8161
"74","Zapotec of the Valleys, central","Severely endangered",16.85,-96.6666
"75","Zapotec of the Valleys north","Severely endangered",17.0666,-96.65
"76","Winnebago (Nebraska)","Severely endangered",42.2475,-96.4722
