"","Name.in.English","Degree.of.endangerment","Latitude","Longitude"
"1","Central Alaskan Yupik (Nuniak Island)","Vulnerable",59.8889,-166.289
"2","Central Alaskan Yupik (2)","Vulnerable",61.4387,-160.4882
"3","Rarotongan","Vulnerable",-21.2343,-159.7837
"4","Norfolk-Pitcairn (Pitcairn)","Vulnerable",-24.3721,-128.3203
"5","Dogrib","Vulnerable",62.8292,-115.9904
"6","Stoney","Vulnerable",51.161,-114.8533
"7","Plains Cree","Vulnerable",56.3544,-113.8345
"8","Hualapai","Vulnerable",35.5279,-113.4297
"9","Upland Yuman","Vulnerable",36.2377,-112.7094
"10","Seri","Vulnerable",29.2333,-112.2
"11","Hopi","Vulnerable",35.8721,-110.6205
"12","Yaqui (Mexico)","Vulnerable",27.6436,-110.296
"13","Dene","Vulnerable",56.4807,-109.4127
"14","River Guarijío","Vulnerable",27.5196,-109.2525
"15","Zuni","Vulnerable",35.082,-108.76
"16","Mountain Guarijío","Vulnerable",27.8758,-108.553
"17","Western Tarahumara","Vulnerable",27.3361,-108.5007
"18","Navajo","Vulnerable",35.8044,-108.475
"19","Northwestern Tarahumara","Vulnerable",27.9169,-107.0552
"20","Southeastern Tarahumara","Vulnerable",26.0891,-106.9645
"21","Jemez","Vulnerable",35.6151,-106.7242
"22","Southwestern Tepehuan","Vulnerable",22.8349,-105.7276
"23","Picuris","Vulnerable",36.1914,-105.7151
"24","Huichol","Vulnerable",22.65,-103.5833
"25","Woods Cree","Vulnerable",55.1711,-102.9061
"26","Sioux","Vulnerable",43.0588,-102.5244
"27","Phurhepecha","Vulnerable",19.3111,-102.041
"28","Chichimec","Vulnerable",21.2941,-100.5233
"29","Northwestern Otomí","Vulnerable",21.0996,-100.1584
"30","Lower Northwestern Otomí","Vulnerable",20.1865,-100.1469
"31","Central Pame","Vulnerable",21.9208,-99.3741
"32","Western Tlapanec","Vulnerable",17.4101,-99.2423
"33","Southwestern Tlapanec","Vulnerable",16.9629,-99.0953
"34","Central Náhuatl","Vulnerable",19.191,-99.0236
"35","Huasteca Náhuatl","Vulnerable",21.3835,-98.9902
"36","Northwestern Tlapanec","Vulnerable",17.5595,-98.9332
"37","Northern Tlapanec","Vulnerable",17.4203,-98.7814
"38","Central Tlapanec","Vulnerable",17.2624,-98.7482
"39","Malinaltepec Tlapanec","Vulnerable",17.2451,-98.6717
"40","Saulteau","Vulnerable",50.5573,-98.6562
"41","Eastern Tlapanec","Vulnerable",17.8135,-98.604
"42","Pisaflores Tepehua","Vulnerable",20.6883,-98.0125
"43","Swampy Cree","Vulnerable",53.9849,-97.7626
"44","Filomeno Mata Totonac","Vulnerable",20.198,-97.7022
"45","Northern Popoloc","Vulnerable",18.6818,-97.658
"46","Sierra Otomí","Vulnerable",20.1021,-97.622
"47","Eastern Popoloc","Vulnerable",18.3322,-97.3471
"48","Central Cuicatec","Vulnerable",17.8,-96.961
"49","Huehuetlán Mazatec","Vulnerable",18.1964,-96.9471
"50","Tecóatl Mazatec","Vulnerable",18.1653,-96.9124
"51","Ocopetatillo Mazatec","Vulnerable",18.1856,-96.9113
"52","Western Mazatec","Vulnerable",18.1351,-96.9057
"53","Mazatlán Mazatec","Vulnerable",18.033,-96.8999
"54","Acatepec Mazatec","Vulnerable",18.1621,-96.8766
"55","Eloxochitlán Mazatec","Vulnerable",18.1754,-96.8765
"56","Highland Mazatec","Vulnerable",18.1307,-96.8436
"57","Puebla Mazatec","Vulnerable",18.476,-96.8351
"58","Ayautla Mazatec","Vulnerable",18.019,-96.7441
"59","Northern Cuicatec","Vulnerable",17.9511,-96.7384
"60","Eastern Cuicatec","Vulnerable",17.9666,-96.7166
"61","Higher Reservoir Mazatec","Vulnerable",18.158,-96.7045
"62","Chilchotla Mazatec","Vulnerable",18.2934,-96.7029
"63","Lowland Mazatec","Vulnerable",18.0801,-96.5236
"64","Ixcatlán Mazatec","Vulnerable",18.1447,-96.4855
"65","Soyaltepec Mazatec","Vulnerable",18.2499,-96.3995
"66","Natsilingmiutut","Vulnerable",68.643,-95.8863
"67","Northwestern Ojibwe","Vulnerable",52.0016,-95.4274
"68","Lower Mixe","Vulnerable",16.9616,-95.093
"69","San Mateo del Mar Huave","Vulnerable",16.2,-94.9833
"70","Oji-Cree","Vulnerable",53.8141,-94.8977
"71","Isthmus Náhuatl","Vulnerable",18.2209,-94.8382
"72","Choctaw (Oklahoma)","Vulnerable",34.1472,-94.81
"73","Sierra Popoluca","Vulnerable",18.245,-94.76
"74","Kivallirmiutut","Vulnerable",61.0982,-94.1201
"75","Akatek (Mexico)","Vulnerable",16.7823,-93.1061
"76","Choctaw (Louisiana)","Vulnerable",31.6822,-92.1252
"77","Mam (Guatemala)","Vulnerable",14.9305,-91.9078
"78","Western Zoque","Vulnerable",16.9063,-91.7333
"79","Chuj (Guatemala)","Vulnerable",15.8259,-91.4783
"80","Q'aanjob'al","Vulnerable",15.6019,-91.4441
"81","Akatek (Guatemala)","Vulnerable",15.5724,-91.4218
"82","Awakatek (Guatemala)","Vulnerable",15.3429,-91.312
"83","K'iche' (Guatemala)","Vulnerable",15.0309,-91.1485
"84","Ixil (Guatemala)","Vulnerable",15.4849,-91.0358
"85","Uspantek","Vulnerable",15.3475,-90.8684
"86","Kaqchikel (Guatemala)","Vulnerable",14.7814,-90.7925
"87","Achi'","Vulnerable",15.0845,-90.4888
"88","Poqomchi'","Vulnerable",15.3757,-90.4288
"89","Q'eqchi' (Guatemala)","Vulnerable",15.4707,-90.3722
"90","Choctaw (Mississipi)","Vulnerable",32.7713,-89.1163
"91","Garífuna (Guatemala)","Vulnerable",15.8268,-88.7506
"92","Garífuna (Belize)","Vulnerable",17.1833,-88.5833
"93","Q'eqchi' (Belize)","Vulnerable",16.8107,-88.3999
"94","Garífuna (Honduras)","Vulnerable",15.6754,-88.1476
"95","Miskito (Honduras)","Vulnerable",15.3393,-84.6034
"96","Panamahka","Vulnerable",14.2856,-84.5947
"97","Miskito (Nicaragua)","Vulnerable",12.4001,-83.7332
"98","Cabécar","Vulnerable",9.9012,-83.6844
"99","Bribri (Costa Rica)","Vulnerable",9.5596,-83.3073
"100","Aivilingmiutut","Vulnerable",64.1657,-83.243
"101","Ngäbere (Panama)","Vulnerable",9.3395,-82.2428
"102","San Andres Creole","Vulnerable",12.5833,-81.7
"103","Moose Cree","Vulnerable",52.2827,-81.6276
"104","Qikiqtaaluk uannangani","Vulnerable",69.3878,-81.615
"105","Mikasuki","Vulnerable",26.3202,-80.9877
"106","Kuna (Panama)","Vulnerable",9.5983,-79.6334
"107","Northern East Cree","Vulnerable",53.6916,-78.8011
"108","Awajun","Vulnerable",-4.3464,-77.8271
"109","Wampis","Vulnerable",-3.4476,-77.7941
"110","Embera (Panama)","Vulnerable",8.1179,-77.7429
"111","Northern Algonquin","Vulnerable",48.0616,-77.3521
"112","Waunana (Colombia)","Vulnerable",4.2806,-77.0581
"113","Embera (Colombia)","Vulnerable",6.1624,-76.8383
"114","Waotededo","Vulnerable",-1.1864,-76.6296
"115","Urarina","Vulnerable",-4.3464,-75.3002
"116","Atikamekw","Vulnerable",47.2104,-74.3827
"117","Ashaninka (Peru)","Vulnerable",-10.6929,-74.3444
"118","Quechua of Peruvian Amazonia","Vulnerable",-2.3723,-74.1137
"119","Kogui","Vulnerable",10.8548,-74.0258
"120","Southern East Cree","Vulnerable",50.587,-73.6365
"121","Aruaco","Vulnerable",10.0986,-73.5424
"122","Mayoruna (Peru)","Vulnerable",-5.5285,-73.4765
"123","Barí","Vulnerable",9.0261,-73.2678
"124","Ashaninka (Brazil)","Vulnerable",-9.3786,-73.1414
"125","Yukpa","Vulnerable",9.7956,-72.9382
"126","Nanti","Vulnerable",-11.6629,-72.6965
"127","Quechua of Cuzco","Vulnerable",-13.4537,-72.0098
"128","Guajiro","Vulnerable",11.8673,-71.9824
"129","Bora","Vulnerable",-2.7455,-71.8835
"130","Cashinahua (Brazil)","Vulnerable",-9.2603,-71.5304
"131","Korúbo","Vulnerable",-5.8346,-70.9277
"132","Matís","Vulnerable",-6.1405,-70.664
"133","Cubeo (Colombia)","Vulnerable",1.5,-70.5
"134","Machineri (Brazil)","Vulnerable",-10.5742,-70.4882
"135","Marúbo","Vulnerable",-6.0968,-70.2246
"136","Shanenawa","Vulnerable",-8.1014,-70.2129
"137","Yawanawá","Vulnerable",-10.8333,-70.0927
"138","Tucano (Colombia)","Vulnerable",0.6921,-69.8291
"139","Yaminahua (Brazil)","Vulnerable",-10.6606,-69.6972
"140","Yuhup (Brazil)","Vulnerable",-1.0546,-69.3896
"141","Quechua of Northern Bolivia","Vulnerable",-15.3649,-69.0518
"142","Bara (Brazil)","Vulnerable",0.3515,-68.9721
"143","Sikuani","Vulnerable",3.4256,-68.8183
"144","Culina (Brazil)","Vulnerable",-7.1008,-68.7744
"145","Dâw","Vulnerable",0.2197,-68.7744
"146","Katukína-Kanamarí","Vulnerable",-5.6159,-68.7304
"147","Western Montagnais","Vulnerable",48.9635,-68.5729
"148","Qikiqtaaluk nigiani","Vulnerable",63.7577,-68.5178
"149","Kurripako (Brazil)","Vulnerable",0.7001,-68.3789
"150","Jamamadí","Vulnerable",-9.0424,-68.3789
"151","Nunavimmiutitut","Vulnerable",58.1665,-68.3605
"152","Aymara","Vulnerable",-16.5835,-68.302
"153","Baníwa do Içana","Vulnerable",1.2743,-68.291
"154","Hupda (Brazil)","Vulnerable",0.7909,-68.247
"155","Dení","Vulnerable",-6.5773,-68.1591
"156","Macuna (Brazil)","Vulnerable",1.1395,-67.7636
"157","Wanano / Kotiria (Brazil)","Vulnerable",0.6152,-67.5
"158","Siriano (Brazil)","Vulnerable",0.5244,-67.5
"159","Tucano (Brazil)","Vulnerable",0.1757,-67.2363
"160","Suruahá","Vulnerable",-6.8828,-66.9726
"161","Tuyuca (Brazil)","Vulnerable",0.4394,-66.8847
"162","Chimané","Vulnerable",-15.2629,-66.8518
"163","Naskapi","Vulnerable",54.903,-66.802
"164","Piaroa (Venezuela)","Vulnerable",4.5435,-66.7089
"165","Panare","Vulnerable",6.5445,-66.4233
"166","Eastern Montagnais","Vulnerable",50.2136,-66.193
"167","Quechua of Southern Bolivia","Vulnerable",-18.0675,-65.7641
"168","Hodi","Vulnerable",6.075,-65.6323
"169","Jarawára","Vulnerable",-7.2153,-65.0115
"170","Mayoruna (Brazil)","Vulnerable",-3.3379,-64.8413
"171","Yanomami (Venezuela)","Vulnerable",2.5918,-64.7314
"172","Banawá Yafi","Vulnerable",-6.6427,-64.5996
"173","Yecuana (Venezuela)","Vulnerable",4.8501,-64.5117
"174","Sanema (Venezuela)","Vulnerable",4.4669,-64.1931
"175","Karitiana","Vulnerable",-9.7307,-64.0942
"176","Guaraní Boliviano","Vulnerable",-20.1694,-63.8525
"177","Yanomám","Vulnerable",3.3818,-63.8085
"178","Uru-eu-au-au","Vulnerable",-11.6852,-63.6547
"179","Ninam (Venezuela)","Vulnerable",4.5435,-63.5668
"180","Yanomami (Brazil)","Vulnerable",3.0746,-63.457
"181","Wichi","Vulnerable",-22.0041,-63.413
"182","Yecuana (Brazil)","Vulnerable",2.8552,-63.3251
"183","Sanema (Brazil)","Vulnerable",2.8113,-63.0615
"184","Ninam (Brazil)","Vulnerable",3.1185,-62.9736
"185","Pemon (Venezuela)","Vulnerable",5.1347,-61.853
"186","Gavião de Rondônia","Vulnerable",-10.4445,-61.6992
"187","Karo","Vulnerable",-10.5749,-61.5893
"188","Paiter","Vulnerable",-11.1245,-61.3476
"189","Macushi (Brazil)","Vulnerable",3.7765,-61.1279
"190","Pirahã","Vulnerable",-6.9264,-61.1279
"191","Zoró","Vulnerable",-10.9519,-61.0729
"192","Waimirí-Atroarí","Vulnerable",-1.0985,-60.8203
"193","Micmac (Canada)","Vulnerable",45.9646,-60.6172
"194","Patamona (Brazil)","Vulnerable",4.5216,-60.3808
"195","Nivaclé","Vulnerable",-23.3019,-60.3369
"196","Akawaio (Brazil)","Vulnerable",4.1711,-60.249
"197","Pemon (Brazil)","Vulnerable",4.664,-60.216
"198","Patamona (Guyana)","Vulnerable",4.5873,-59.8095
"199","Nambiquara do Norte","Vulnerable",-11.8028,-59.8095
"200","Enawenê-Nawê","Vulnerable",-12.5223,-59.7656
"201","Cinta Larga","Vulnerable",-11.4154,-59.7216
"202","Wapishana (Guyana)","Vulnerable",2.3065,-59.6997
